specimen_id,height_i,height_h,height_r,species,notes
071123-NAPL-025-B,24.1,18.9,24.2,CC,
071123-NAPL-025-C,20.5,17.2,20.5,CC,
071123-NAPL-026-A,27.1,21.1,28.2,CC,
071123-NAPL-026-B,24.5,19.1,24,CC,
071123-NAPL-026-C,21.6,17.1,21.5,CC,
071123-NAPL-026-D,13.6,10.9,12.8,CC,
072523-BULL-013-A,30.57,19.048,28.118,DL,
072523-BULL-013-B,25.693,22.8,25.8,DL,
072523-BULL-013-C,24.971,22.1,24.9,DL,
073123-CARP-010-A,15.42,13.6,14.3,DP,
073123-CARP-010-B,17.6,15.3,17.6,DP,
073123-CARP-010-C,15.5,13.2,14.55,DP,
073123-CARP-011-A,16.3,13.9,15.3,DP,
073123-CARP-011-B,12.8,11.1,12.2,DP,
073123-CARP-011-C,24.5,22.3,24.5,DP,
073123-CARP-001-A,7.9,5.8,7.5,DP,
073123-CARP-001-B,5,4.5,5.3,DP,
073123-CARP-001-C,7.2,6.1,7.1,DP,
073123-CARP-002-A,17.2,14.4,16.3,DP,
073123-CARP-002-B,23.3,19.7,21.6,DP,
073123-CARP-002-C,21.3,14.5,20.4,DP,
073123-CARP-003-A,19.8,17.6,18.8,DP,
073123-CARP-003-B,20,14.9,19.2,DP,
073123-CARP-003-C,20,14.1,19.5,DP,
073123-CARP-004-A,10,8.6,11.3,DP,
073123-CARP-004-B,16.7,15.5,16.9,DP,
073123-CARP-005-A,23.6,22.3,23.3,GR,
073123-CARP-005-B,29.2,28.1,29.1,GR,
073123-CARP-005-C,27.1,24,27,GR,
073123-CARP-006-A,20,16.6,19.5,GR,
073123-CARP-006-B,20.56,20,20.1,GR,
073123-CARP-007-A,21.7,20.9,21.1,GR,
073123-CARP-008-A,23.2,23,23,GR,
073123-CARP-009-A,17.2,16.8,17,GR,
080723-MOHK-010-A,13.3,11.3,12.7,CYOS,
080723-MOHK-010-B,27.3,24.6,26.2,CYOS,
080723-MOHK-010-C,30.1,27.1,29.1,CYOS,
080723-MOHK-011-A,25.7,23.3,25.1,CYOS,
080723-MOHK-011-B,46.9,24.1,46.5,CYOS,
080723-MOHK-011-C,25.5,21.8,25.3,CYOS,
080723-MOHK-012-A,35.9,31.9,35.2,CYOS,
080723-MOHK-012-B,21.4,19.7,20.8,CYOS,
080723-MOHK-012-C,46.4,26.8,44.9,CYOS,
080723-MOHK-013-A,8.7,7,8.1,R,
080723-MOHK-013-B,8,7.4,8,R,
080723-MOHK-016-A,3.7,3.3,3.7,R,
080723-MOHK-016-B,2.5,2.3,2.5,R,
080723-MOHK-015-A,17.815,16.518,18,R,
080723-MOHK-015-B,11.5,7.9,10.9,R,
080723-MOHK-015-C,10.1,9.3,10,R,
080723-MOHK-014-A,7.1,6.6,6.9,R,
080723-MOHK-014-B,7.4,7,7.2,R,
080723-MOHK-014-C,7.8,6.6,7.6,R,
080723-MOHK-022-A,22.6,20,22.7,R,
080723-MOHK-022-B,12.3,11,12.3,R,
080723-MOHK-022-C,19.4,17.2,19.5,R,
080723-MOHK-021-A,4.8,4.6,4.8,CO,
080723-MOHK-021-B,9.7,9.5,9.5,CO,
080723-MOHK-021-C,12.5,11.9,12.6,CO,
080723-MOHK-020-A,15.8,15.1,15.5,CO,
080723-MOHK-020-B,13,12.3,12.9,CO,
080723-MOHK-020-C,15.2,13.2,15.3,CO,
080723-MOHK-019-A,8.7,8.6,8.8,CO,
080723-MOHK-019-B,7.3,7.1,7.4,CO,
080723-MOHK-019-C,9.7,9.5,9.7,CO,
080723-MOHK-018-A,7.5,7.2,7.2,CO,
080723-MOHK-018-B,7.8,7.6,7.8,CO,
080723-MOHK-018-C,6.7,6.7,6.8,CO,
080723-MOHK-017-A,6.4,6.2,6.4,CO,
080723-MOHK-017-B,6.3,4.5,4.7,CO,
080723-MOHK-017-C,7.2,6.7,6.7,CO,
080723-MOHK-001-A,14.9,11.3,12.9,DP,
080723-MOHK-001-B,22.6,17.4,20,DP,
080723-MOHK-001-C,15.3,12.3,14,DP,
080723-MOHK-002-A,5.5,5.5,5.6,CO,
080723-MOHK-002-B,6.7,6.4,6.7,CO,
080723-MOHK-002-C,5.55,5.6,5.7,CO,
080723-MOHK-003-A,32.1,26.8,29.6,DP,
080723-MOHK-003-B,28.1,23.9,28.3,DP,
080723-MOHK-003-C,22.8,18.3,22.6,DP,
080723-MOHK-004-A,12.9,10.7,11.2,DP,
080723-MOHK-004-B,17.4,14.3,15.7,DP,
080723-MOHK-004-C,14.4,12.2,13.3,DP,
080723-MOHK-005-A,10.3,8,9.5,DP,
080723-MOHK-005-B,16.3,13.1,15,DP,
080723-MOHK-005-C,24.2,17,20,DP,
080723-MOHK-006-A,24.3,20.8,23.2,DP,
080723-MOHK-006-B,27.4,25.9,26.7,DP,
080723-MOHK-006-C,9,6.9,8.6,DP,
080723-MOHK-007-A,20.8,17.2,19,DP,
080723-MOHK-007-B,21.1,16.6,19.6,DP,
080723-MOHK-007-C,17.9,14.6,16.4,DP,
080723-MOHK-008-A,29.6,26.6,28.5,CYOS,
080723-MOHK-008-B,34.6,30.6,33.3,CYOS,
080723-MOHK-008-C,32.6,29.5,31.5,CYOS,
080723-MOHK-009-A,30.4,27.7,29.4,CYOS,
080723-MOHK-009-B,28.6,26.1,27.5,CYOS,
080723-MOHK-009-C,24.8,22.3,23.7,CYOS,
072523-BULL-004-A,10.3,9.4,10,NAND,
072523-BULL-004-B,4.53,3.58,4.4,NAND,
072523-BULL-004-C,13,11.55,12.63,NAND,
072523-BULL-005-A,17.14,16.46,17.75,BF,
072523-BULL-005-B,8.7,7.27,8.39,BF,
072523-BULL-005-C,14.28,12.66,14.53,BF,
072523-BULL-006-A,8.77,7.19,8.8,POLA,
072523-BULL-006-B,6.34,5.98,6.76,POLA,
072523-BULL-006-C,21,18.85,20.89,POLA,
072523-BULL-006-D,13.63,11.57,12.82,POLA,
072523-BULL-007-A,28.1,26.23,27,BF,
072523-BULL-007-B,27.5,22.8,26.7,BF,
072523-BULL-007-C,13.14,12.53,13.03,BF,
072523-BULL-008-A,14,13.86,14,BF,
072523-BULL-008-B,15.3,14.02,15.95,BF,
072523-BULL-008-C,15.95,14.52,15.16,BF,
072523-BULL-009-A,12.7,10.77,12.36,BF,
072523-BULL-009-B,16.1,13.53,15.78,BF,
072523-BULL-009-C,15.24,12.83,15.66,BF,
072523-BULL-010-A,16.4,14.49,15.26,NAND,
072523-BULL-010-B,4.52,3.93,4.27,NAND,
072523-BULL-010-C,14.27,13.84,14,NAND,
072523-BULL-011-A,13.09,11.68,12.89,BF,
072523-BULL-011-B,7.613,7.211,7.559,BF,
072523-BULL-011-C,9.66,7.86,9.43,BF,
072523-BULL-012-A,16.45,14.31,16.2,BF,
072523-BULL-012-B,18.11,16.18,17.76,BF,
072523-BULL-012-C,4.92,3.65,5.1,BF,
072523-BULL-016-A,42.531,41.926,NA,DL,
072523-BULL-016-B,15,13.91,NA,DL,
072523-BULL-016-C,19.02,17.439,NA,DL,
072523-BULL-001-A,NA,NA,NA,POLA,too fragile to handle
072523-BULL-002-A,NA,NA,NA,NAND,too fragile to handle
072523-BULL-002-B,NA,NA,NA,NAND,too fragile to handle
072523-BULL-002-C,NA,NA,NA,NAND,too fragile to handle
072523-BULL-003-A,NA,NA,NA,POLA,too fragile to handle
072523-BULL-014-B,NA,NA,NA,DL,too fragile to handle
072523-BULL-014-C,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-A,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-B,NA,NA,NA,DL,too fragile to handle
072523-BULL-015-C,NA,NA,NA,DL,too fragile to handle
